index,nombre,precio,precioanterior,preciounico,plazo,quincenas_24,marca,sku,href,nombrepromocion,categoria,fechadeconsulta
2,Sala Esquinera Contemporánea Antara,11999.0,13199.0,0.0,24,438.0,ARTABAN,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
6,Sofá Bolonia Contemporáneo,0.0,0.0,7099.0,24,438.0,MARBY,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
10,Sofá Vivian Contemporáneo,6699.0,7299.0,0.0,24,438.0,ARTABAN,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
14,Sala Esquinera Niza Contemporánea 2 Piezas,9699.0,9999.0,0.0,24,438.0,IBSA,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
18,Sillón Vivian Contemporáneo,3399.0,3699.0,0.0,24,438.0,ARTABAN,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
22,Loveseat Montevideo Contemporáneo 1 Pieza,0.0,0.0,5699.0,24,438.0,MARBY,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
26,Sandalias de Tacón Frida Kollection para Mujer,0.0,0.0,479.0,24,70.0,FRIDA KOLLECTION,3540302,https://www.coppel.com/vestido-meirius-de-fiesta-pr-3540302,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
30,Collar de Oro 10K Sentimientos,3759.0,4199.0,0.0,24,70.0,SENTIMIENT,3540302,https://www.coppel.com/vestido-meirius-de-fiesta-pr-3540302,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
34,Camisa de Vestir Wall Street Slim Fit Lisa,0.0,0.0,249.0,24,70.0,WALL STREET,3540302,https://www.coppel.com/vestido-meirius-de-fiesta-pr-3540302,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
38,"Laptop HP 14-DK1508LA 14"" AMD Ryzen 3 8 GB RAM 256 GB SSD Plata",9799.0,14699.0,0.0,24,560.0,HP,2258773,https://www.coppel.com/laptop-hp-14-dk1508la-14-pulgadas-amd-ryzen-3-8-gb-ram-256-gb-ssd-plata-pm-2258773,"Anuncio: HP Laptop 14-dk1508la. Haz más, donde quieras, todo el día. Pulsa aquí para comprarla.",Computo,2022-06-22
